split,v0,theta_deg,drag,range
0,2.04333616359498791e+01,6.00939992759054462e+01,6.09832818596250520e-02,1.28898008848031509e+01
1,7.75477420785815070e+01,6.99525098466347117e+01,7.56784497345453638e-02,1.58188498786733422e+01
0,3.81145356721962258e+01,5.49307954908714677e+01,1.56779273410093643e-02,5.30797294837856839e+01
0,3.06663978963887054e+01,6.70868362756254157e+01,7.42241701972324447e-02,1.23754956976446575e+01
2,6.92898859443610746e+01,3.40977342344384269e+01,6.42511007898089598e-02,3.33803090417709996e+01
0,1.87122232760835878e+01,1.27530347546588168e+01,4.52124092419433007e-02,1.03489850994884840e+01
1,6.13513322751592369e+01,2.12734446415177167e+01,3.67399560136601952e-02,4.69238072979014404e+01
0,2.31477319795827832e+01,5.82126211841925851e+01,6.34345882900958502e-02,1.44550379680523626e+01
2,3.74744243208807717e+01,5.38140879402761882e+01,4.63706591063932708e-02,2.67143418862394419e+01
1,2.62329914923496901e+01,6.27669782109127041e+01,7.27368031771086082e-02,1.30064134455384011e+01
0,6.88859594884670798e+01,1.15864551190583658e+01,1.86792572285871226e-02,6.53525173044876482e+01
1,3.73052186357903253e+01,2.37109602945405911e+01,3.84653564994138749e-03,8.19922564277779458e+01
2,7.82284969017602521e+01,4.17822519678330764e+01,3.92580767385226556e-02,5.02938758197464608e+01
0,5.37683039090574724e+01,5.62100096503388258e+01,3.18821287988902136e-02,4.13718472972786415e+01
0,5.85535984292040652e+01,2.25296662929400711e+01,4.38535786303801203e-02,4.06140150789665810e+01
0,4.65067585492692288e+01,7.31856805551664564e+01,2.42944805781469438e-02,2.73403677048107703e+01
0,3.16277739352913798e+01,6.94839204870231839e+01,1.51708299543116976e-02,3.12816928418030109e+01
0,3.76889494736700073e+01,7.89148069341979408e+01,7.31212895164239929e-02,7.40422357568952094e+00
1,7.58653931363331253e+01,7.76913589389872925e+01,6.99264174398101235e-02,1.09301140632482898e+01
1,2.40842240507265117e+01,4.24074242089437305e+01,5.25875368965803905e-02,1.99785818454226316e+01
2,7.91753230854148597e+01,2.75399454920729383e+01,3.66218559321086837e-02,5.59159935537465103e+01
0,6.30814103402672899e+01,5.22084129494948499e+01,3.78146775303989588e-02,4.19411262977097152e+01
0,3.51850848544827173e+01,5.36079794505868534e+01,1.17264299342974000e-04,1.18665936163813882e+02
1,5.49059512653922326e+01,5.72405922137066909e+01,7.56816181953854222e-02,2.06202018713863957e+01
0,3.66687077505161270e+01,7.34569479904544380e+01,4.36798512728870034e-02,1.54163150793413450e+01
0,3.67045052847944007e+01,3.62110834568964037e+01,4.33001216083727779e-03,9.38217644669564805e+01
1,4.52662065136170710e+01,1.89099895681117758e+01,1.19212500821015248e-02,6.67669299844891384e+01
1,1.11705975144763965e+01,7.55772110433534152e+01,1.10795711339619369e-02,5.46240942820418685e+00
2,4.45500091960377347e+01,6.57379473470749502e+01,7.61847163541335831e-02,1.51811804924040441e+01
0,7.80118889412821659e+01,5.70373633560241800e+01,2.91327682296277229e-02,5.20708270935772788e+01
